button_id,label,area,handler_type,handler_line,handler_excerpt,prerequisite,expected_result,risk_level,destructive,test_mode,static_contract_status,browser_e2e_status,browser_e2e_note,v20_4_action_guard,guard_reason,runtime_verification,adaptive_ui,v20_5_fixture_mock,ai_context_aware,runtime_result_verification,v20_6_agent_callable,agent_risk,agent_runtime_verify,v20_7_contextual_ux,v20_7_failure_recovery,next_action_explainable,button_reason_visible,v20_8_role_adaptive,v20_8_engineering_optimizer,role_visibility
home,專案,top,onclick,739,"q(""home"").onclick=()=>{q(""dashboard"").classList.remove(""hidden"");dash()};",無特殊前置條件,回到專案 Dashboard,LOW,NO,AUTO_SAFE,PASS,BLOCKED_ENVIRONMENT,目前容器無可正常啟動之Chromium/Playwright瀏覽器；需部署後執行V20.3內建E2E Runner。,NONE,情境條件：無額外限制,POST_STATE_CHECK,NORMAL,AUTO_SAFE,True,True,True,high,True,True,retry/fallback/skip,True,True,True,contextual,"manager,sales,designer,engineer"
editMenu,編輯,top,onclick,1540,"q(""editMenu"").onclick=e=>showTopMenu(e.currentTarget,[[""復原"",()=>q(""undo"").click()],[""重做"",()=>q(""redo"").click()],[""全選模型"",selectAllObjects],[""複製選取"",duplicateSelectedObjects],[""刪除選取"",deleteSelectedObjects]]);",無特殊前置條件,執行「編輯」對應功能並產生可見狀態變化或明確提示,LOW,NO,AUTO_SAFE,PASS,BLOCKED_ENVIRONMENT,目前容器無可正常啟動之Chromium/Playwright瀏覽器；需部署後執行V20.3內建E2E Runner。,NONE,情境條件：無額外限制,POST_STATE_CHECK,NORMAL,AUTO_SAFE,True,True,True,high,True,True,retry/fallback/skip,True,True,True,contextual,"manager,sales,designer,engineer"
viewMenu,檢視,top,onclick,1541,"q(""viewMenu"").onclick=e=>showTopMenu(e.currentTarget,[[""完整顯示場景"",fitScene],[""100%置中"",centerSceneAt100],[""切換吸附"",()=>q(""snapToggle"").click()],[""切換格線"",()=>q(""gridToggle"").click()],[""全螢幕"",()=>q(""fs"").click()],[""切換3D預覽"",()=>q(""toggle3d"").click()]]);",無特殊前置條件,執行「檢視」對應功能並產生可見狀態變化或明確提示,LOW,NO,AUTO_SAFE,PASS,BLOCKED_ENVIRONMENT,目前容器無可正常啟動之Chromium/Playwright瀏覽器；需部署後執行V20.3內建E2E Runner。,NONE,情境條件：無額外限制,POST_STATE_CHECK,NORMAL,AUTO_SAFE,True,True,True,high,True,True,retry/fallback/skip,True,True,True,contextual,"manager,sales,designer,engineer"
goExport,匯出,top,onclick,1546,"q(""goExport"").onclick=()=>openRightTab(""out"");",無特殊前置條件,執行「匯出」對應功能並產生可見狀態變化或明確提示,LOW,NO,AUTO_SAFE,PASS,BLOCKED_ENVIRONMENT,目前容器無可正常啟動之Chromium/Playwright瀏覽器；需部署後執行V20.3內建E2E Runner。,NONE,情境條件：無額外限制,POST_STATE_CHECK,NORMAL,AUTO_SAFE,True,True,True,high,True,True,retry/fallback/skip,True,True,True,contextual,"manager,sales,designer,engineer"
settingsMenu,設定,top,onclick,1542,"q(""settingsMenu"").onclick=e=>showTopMenu(e.currentTarget,[[""專案／場景設定"",()=>openRightTab(""project"")],[""物件屬性"",()=>openRightTab(""prop"")],[""施工模式"",()=>q(""constructionMode"").click()],[""提案模式"",()=>q(""proposalMode"").click()]]);",無特殊前置條件,執行「設定」對應功能並產生可見狀態變化或明確提示,LOW,NO,AUTO_SAFE,PASS,BLOCKED_ENVIRONMENT,目前容器無可正常啟動之Chromium/Playwright瀏覽器；需部署後執行V20.3內建E2E Runner。,NONE,情境條件：無額外限制,POST_STATE_CHECK,NORMAL,AUTO_SAFE,True,True,True,high,True,True,retry/fallback/skip,True,True,True,contextual,"manager,sales,designer,engineer"
undo,復原,top,onclick,1052,"q(""undo"").onclick=async()=>{ if(!H.length)return;F.push(JSON.stringify(serializeObjects(O)));pauseObjectMedia(O);",無特殊前置條件,執行「復原」對應功能並產生可見狀態變化或明確提示,LOW,NO,AUTO_SAFE,PASS,BLOCKED_ENVIRONMENT,目前容器無可正常啟動之Chromium/Playwright瀏覽器；需部署後執行V20.3內建E2E Runner。,undo,情境條件：undo,POST_STATE_CHECK,CONTEXT_AWARE,AUTO_SAFE,True,True,True,high,True,True,retry/fallback/skip,True,True,True,contextual,"manager,sales,designer,engineer"
redo,重做,top,onclick,1056,"q(""redo"").onclick=async()=>{ if(!F.length)return;H.push(JSON.stringify(serializeObjects(O)));pauseObjectMedia(O);",無特殊前置條件,執行「重做」對應功能並產生可見狀態變化或明確提示,LOW,NO,AUTO_SAFE,PASS,BLOCKED_ENVIRONMENT,目前容器無可正常啟動之Chromium/Playwright瀏覽器；需部署後執行V20.3內建E2E Runner。,redo,情境條件：redo,POST_STATE_CHECK,CONTEXT_AWARE,AUTO_SAFE,True,True,True,high,True,True,retry/fallback/skip,True,True,True,contextual,"manager,sales,designer,engineer"
snapToggle,吸附：開,top,onclick,1883,"q(""snapToggle"").onclick=()=>{snapEnabled=!snapEnabled;q(""snapToggle"").textContent=`吸附：${snapEnabled?""開"":""關""}`;updatePropertySceneInfo();draw()};",無特殊前置條件,執行「吸附：開」對應功能並產生可見狀態變化或明確提示,LOW,NO,AUTO_SAFE,PASS,BLOCKED_ENVIRONMENT,目前容器無可正常啟動之Chromium/Playwright瀏覽器；需部署後執行V20.3內建E2E Runner。,NONE,情境條件：無額外限制,POST_STATE_CHECK,NORMAL,AUTO_SAFE,True,True,True,high,True,True,retry/fallback/skip,True,True,True,contextual,"manager,sales,designer,engineer"
gridToggle,格線：開,top,onclick,1885,"q(""gridToggle"").onclick=()=>{gridEnabled=!gridEnabled;q(""gridToggle"").textContent=`格線：${gridEnabled?""開"":""關""}`;updatePropertySceneInfo();draw()};",無特殊前置條件,執行「格線：開」對應功能並產生可見狀態變化或明確提示,LOW,NO,AUTO_SAFE,PASS,BLOCKED_ENVIRONMENT,目前容器無可正常啟動之Chromium/Playwright瀏覽器；需部署後執行V20.3內建E2E Runner。,NONE,情境條件：無額外限制,POST_STATE_CHECK,NORMAL,AUTO_SAFE,True,True,True,high,True,True,retry/fallback/skip,True,True,True,contextual,"manager,sales,designer,engineer"
toggle3d,3D Preview,top,onclick,1812,"q(""toggle3d"").onclick=async()=>{ if(!is3){ const ok=await build3();",無特殊前置條件,切換2D/3D預覽；3D載入失敗不得拖垮2D,MEDIUM,NO,CONDITIONAL_BROWSER,PASS,BLOCKED_ENVIRONMENT,目前容器無可正常啟動之Chromium/Playwright瀏覽器；需部署後執行V20.3內建E2E Runner。,objects,情境條件：objects,POST_STATE_CHECK,CONTEXT_AWARE,AUTO_FIXTURE_READY,True,True,True,high,True,True,retry/fallback/skip,True,True,True,contextual,"manager,sales,designer,engineer"
